gender,age,height,weight,weekly_hours,stress
f,41,175,75,50,3
f,30,167,63,40,3
m,25,160,54,10,3
m, Republic of,25,165,0,4
null,24,181,75,32,5
m,23,167,51,40,3
f,31,168,86,50,4
m,null,null,null,null,null
f,23,172,65,0,4
m,25,167,67,8,4
m,25,163,64,37,4
f,34,170,63,null,2
m,52,null,null,40,4
f,21,174,77,0,4
m,47,null,null,null,null
f,25,180,69,0,3
f,22,174,72,35,3
f,22,200,75,40,4
f,34,173,100,45,3
m,22,173,78,40,4
m,24,154,52,null,4
m,24,164,50,48,3
f,57,187,84,35,3
f,28,180,75,40,3
m,39,162,54,null,4
f,45,170,75,40,4
f,27,189,85,50,2
m,30,167,80,32,1
f,33,180,80,40,2
m,22,171,55,45,4
m,21,160,60,35,2
f,60,175,80,50,3
f,35,17,89,6,4
f,49,192,80,40,4
f,25,66,60,40,3
f,29,188,86,65,3
m,22,170,53,32,4
f,40,165,65,null,2
f,40,180,86,50,4
m,24,158,49,null,3
m,31,164,56,39,3
m,38,null,null,33,3
f,24,170,65,40,4
f,31,173,63,50,4
f,35,175,97,50,4
f,61,5,140,37,2
m,24,165,61,45,2
f,37,176,109,40,4
m,null,null,null,null,null
m,30,167,118,43,5
f,27,168,68,0,4
f,40,180,85,30,3
f,39,177,66,60,4
f,27,182,72,40,2
f,34,170,70,40,4
f,20,166,67,56,3
m,22,170,58,35,4
f,21,189,90,30,4
f,52,171,110,40,4
f,21,174,55,null,2
m,22,170,86,0,4
f,23,176,75,40,3
m,26,163,80,null,4
f,32,174,65,42,2
f,25,166,55,40,3
m,31,170,108,35,2
m,22,155,48,40,2
m,22,175,49,0,3
f,28,null,null,45,4
f,40,183,129,80,4
f,20,178,74,0,2
f,null,null,76,null,4
m,27,163,50,40,4
f,34,180,80,40,3
m,25,175,55,45,4
f,42,188,885,null,null
m,20,162,67,null,4
m, Republic of,25,162,15,3
f,null,180,87,40,4
m,22,156,45,40,4
m, Province of China,23,167,8,4
f,29,175,71,38,2
m,40,166,64,10,2
f,21,179,71,null,null
f,30,171,65,50,4
m,21,155,55,0,5
f,33,191,114,55,4
f,25,179,91,0,4
m,22,null,null,null,4
