,Date_x,Time,Date_y
0,21/12/2020,17:11,
1,21/12/2020,17:11,
2,21/12/2020,17:11,
3,21/12/2020,17:12,
4,21/12/2020,17:12,
5,21/12/2020,17:12,
6,21/12/2020,17:12,
7,21/12/2020,17:13,
8,21/12/2020,17:13,
9,21/12/2020,17:13,
10,21/12/2020,17:14,
11,21/12/2020,17:14,
12,21/12/2020,17:14,
13,21/12/2020,17:15,
14,21/12/2020,17:15,
15,21/12/2020,17:15,
16,21/12/2020,17:16,
17,21/12/2020,17:16,
18,21/12/2020,17:16,
19,21/12/2020,17:16,
20,21/12/2020,17:17,
21,21/12/2020,17:17,
22,21/12/2020,17:18,21/12/2020
23,21/12/2020,17:18,21/12/2020
24,21/12/2020,17:18,21/12/2020
25,21/12/2020,17:18,21/12/2020
26,21/12/2020,17:18,21/12/2020
27,21/12/2020,17:18,21/12/2020
28,21/12/2020,17:19,21/12/2020
29,21/12/2020,17:19,21/12/2020
30,21/12/2020,17:19,21/12/2020
31,21/12/2020,17:19,21/12/2020
32,21/12/2020,17:20,
33,21/12/2020,17:20,
34,21/12/2020,17:21,21/12/2020
35,21/12/2020,17:21,21/12/2020
36,21/12/2020,17:21,21/12/2020
37,21/12/2020,17:21,21/12/2020
38,21/12/2020,17:22,
39,21/12/2020,17:22,
40,21/12/2020,17:23,21/12/2020
41,21/12/2020,17:24,21/12/2020
42,21/12/2020,17:24,21/12/2020
43,21/12/2020,17:24,21/12/2020
44,21/12/2020,17:24,21/12/2020
45,21/12/2020,17:24,21/12/2020
46,21/12/2020,17:25,
47,21/12/2020,17:25,
48,21/12/2020,17:25,
49,21/12/2020,17:25,
50,21/12/2020,17:26,
51,21/12/2020,17:26,
52,21/12/2020,17:26,
53,21/12/2020,17:26,
54,21/12/2020,17:27,
55,21/12/2020,17:27,
56,21/12/2020,17:28,
57,21/12/2020,17:28,
58,21/12/2020,17:28,
59,21/12/2020,17:28,
60,21/12/2020,17:29,
61,21/12/2020,17:30,
62,21/12/2020,17:30,
63,21/12/2020,17:30,
64,21/12/2020,17:31,
65,21/12/2020,17:31,
66,21/12/2020,17:32,21/12/2020
67,21/12/2020,17:32,21/12/2020
68,21/12/2020,17:32,21/12/2020
69,21/12/2020,17:32,21/12/2020
70,21/12/2020,17:32,21/12/2020
71,21/12/2020,17:32,21/12/2020
72,21/12/2020,17:32,21/12/2020
73,21/12/2020,17:33,
74,21/12/2020,17:33,
75,21/12/2020,17:33,
76,21/12/2020,17:33,
77,21/12/2020,17:34,
78,21/12/2020,17:34,
79,21/12/2020,17:34,
80,21/12/2020,17:34,
81,21/12/2020,17:34,
82,21/12/2020,17:35,
83,21/12/2020,17:35,
84,21/12/2020,17:36,
85,21/12/2020,17:36,
86,21/12/2020,17:36,
87,21/12/2020,17:36,
88,21/12/2020,17:37,21/12/2020
89,21/12/2020,17:37,21/12/2020
90,21/12/2020,17:37,21/12/2020
91,21/12/2020,17:37,21/12/2020
92,21/12/2020,17:38,21/12/2020
93,21/12/2020,17:39,
94,21/12/2020,17:39,
95,21/12/2020,17:39,
96,21/12/2020,17:40,
97,21/12/2020,17:40,
98,21/12/2020,17:40,
99,21/12/2020,17:40,
100,21/12/2020,17:40,
101,21/12/2020,17:40,
102,21/12/2020,17:41,
103,21/12/2020,17:41,
104,21/12/2020,17:41,
105,21/12/2020,17:41,
106,21/12/2020,17:42,21/12/2020
107,21/12/2020,17:42,21/12/2020
108,21/12/2020,17:42,21/12/2020
109,21/12/2020,17:42,21/12/2020
110,21/12/2020,17:43,
111,21/12/2020,17:43,
112,21/12/2020,17:44,21/12/2020
113,21/12/2020,17:44,21/12/2020
114,21/12/2020,17:44,21/12/2020
115,21/12/2020,17:45,
116,21/12/2020,17:45,
117,21/12/2020,17:45,
118,21/12/2020,17:46,21/12/2020
119,21/12/2020,17:46,21/12/2020
120,21/12/2020,17:46,21/12/2020
121,21/12/2020,17:46,21/12/2020
122,21/12/2020,17:46,21/12/2020
123,21/12/2020,17:47,
124,21/12/2020,17:47,
125,21/12/2020,17:48,
126,21/12/2020,17:49,
127,21/12/2020,17:49,
128,21/12/2020,17:50,
129,21/12/2020,17:50,
130,21/12/2020,17:50,
131,21/12/2020,17:50,
132,21/12/2020,17:50,
133,21/12/2020,17:51,
134,21/12/2020,17:51,
135,21/12/2020,17:51,
136,21/12/2020,17:51,
137,21/12/2020,17:52,
138,21/12/2020,17:52,
139,21/12/2020,17:52,
140,21/12/2020,17:52,
141,21/12/2020,17:52,
142,21/12/2020,17:52,
143,21/12/2020,17:53,
144,21/12/2020,17:53,
145,21/12/2020,17:53,
146,21/12/2020,17:54,21/12/2020
147,21/12/2020,17:54,21/12/2020
148,21/12/2020,17:54,21/12/2020
149,21/12/2020,17:54,21/12/2020
150,21/12/2020,17:55,
151,21/12/2020,17:55,
152,21/12/2020,17:55,
153,21/12/2020,17:55,
154,21/12/2020,17:55,
155,21/12/2020,17:55,
156,21/12/2020,17:55,
157,21/12/2020,17:56,21/12/2020
158,21/12/2020,17:56,21/12/2020
159,21/12/2020,17:56,21/12/2020
160,21/12/2020,17:56,21/12/2020
161,21/12/2020,17:57,
162,21/12/2020,17:57,
163,21/12/2020,17:57,
164,21/12/2020,17:57,
165,21/12/2020,17:57,
166,21/12/2020,17:57,
167,21/12/2020,17:58,
168,21/12/2020,17:58,
169,21/12/2020,17:58,
170,21/12/2020,17:58,
171,21/12/2020,17:58,
172,21/12/2020,18:11,21/12/2020
173,21/12/2020,18:11,21/12/2020
174,21/12/2020,18:11,21/12/2020
175,21/12/2020,18:11,21/12/2020
176,21/12/2020,18:11,21/12/2020
177,21/12/2020,18:11,21/12/2020
178,21/12/2020,18:12,21/12/2020
179,21/12/2020,18:12,21/12/2020
180,21/12/2020,18:12,21/12/2020
181,21/12/2020,18:12,21/12/2020
182,21/12/2020,18:12,21/12/2020
183,21/12/2020,18:12,21/12/2020
184,21/12/2020,18:12,21/12/2020
185,21/12/2020,18:12,21/12/2020
186,21/12/2020,18:13,
187,21/12/2020,18:13,
188,21/12/2020,18:13,
189,21/12/2020,18:14,21/12/2020
190,21/12/2020,18:15,
191,21/12/2020,18:15,
192,21/12/2020,18:15,
193,21/12/2020,18:15,
194,21/12/2020,18:15,
195,21/12/2020,18:16,
196,21/12/2020,18:17,
197,21/12/2020,18:17,
198,21/12/2020,18:17,
199,21/12/2020,18:17,
200,21/12/2020,18:18,
201,21/12/2020,18:18,
202,21/12/2020,18:18,
203,21/12/2020,18:18,
204,21/12/2020,18:18,
205,21/12/2020,18:19,
206,21/12/2020,18:19,
207,21/12/2020,18:20,
208,21/12/2020,18:20,
209,21/12/2020,18:20,
210,21/12/2020,18:20,
211,21/12/2020,18:20,
212,21/12/2020,18:20,
213,21/12/2020,18:21,
214,21/12/2020,18:21,
215,21/12/2020,18:21,
216,21/12/2020,18:21,
217,21/12/2020,18:22,21/12/2020
218,21/12/2020,18:22,21/12/2020
219,21/12/2020,18:22,21/12/2020
220,21/12/2020,18:22,21/12/2020
221,21/12/2020,18:22,21/12/2020
222,21/12/2020,18:23,21/12/2020
223,21/12/2020,18:23,21/12/2020
224,21/12/2020,18:23,21/12/2020
225,21/12/2020,18:23,21/12/2020
226,21/12/2020,18:23,21/12/2020
227,21/12/2020,18:23,21/12/2020
228,21/12/2020,18:23,21/12/2020
229,21/12/2020,18:24,
230,21/12/2020,18:24,
231,21/12/2020,18:24,
232,21/12/2020,18:24,
233,21/12/2020,18:25,21/12/2020
234,21/12/2020,18:25,21/12/2020
235,21/12/2020,18:25,21/12/2020
236,21/12/2020,18:25,21/12/2020
237,21/12/2020,18:25,21/12/2020
238,21/12/2020,18:26,21/12/2020
239,21/12/2020,18:26,21/12/2020
240,21/12/2020,18:26,21/12/2020
241,21/12/2020,18:26,21/12/2020
242,21/12/2020,18:27,
243,21/12/2020,18:27,
