,Date,Time
0,18/12/2020,17:12
1,18/12/2020,17:13
2,18/12/2020,17:15
3,18/12/2020,17:19
4,18/12/2020,17:25
5,18/12/2020,17:25
6,18/12/2020,17:27
7,18/12/2020,17:30
8,18/12/2020,17:31
9,18/12/2020,17:31
10,18/12/2020,17:33
11,18/12/2020,17:34
12,18/12/2020,17:36
13,18/12/2020,17:44
14,18/12/2020,17:49
15,18/12/2020,17:50
16,18/12/2020,17:54
17,18/12/2020,17:58
18,18/12/2020,18:13
19,18/12/2020,18:19
20,18/12/2020,18:19
21,18/12/2020,18:21
22,18/12/2020,18:23
23,18/12/2020,18:24
24,18/12/2020,18:24
25,18/12/2020,18:26
26,18/12/2020,18:30
27,18/12/2020,18:40
28,18/12/2020,18:44
29,18/12/2020,18:47
30,18/12/2020,18:53
31,18/12/2020,18:54
32,18/12/2020,18:56
33,18/12/2020,18:57
34,18/12/2020,19:11
35,18/12/2020,19:20
36,18/12/2020,19:24
37,18/12/2020,19:24
38,18/12/2020,19:25
39,18/12/2020,19:26
40,18/12/2020,19:40
41,18/12/2020,19:41
42,18/12/2020,19:44
43,18/12/2020,19:46
44,18/12/2020,19:48
45,18/12/2020,19:49
46,18/12/2020,19:54
47,18/12/2020,19:55
48,18/12/2020,20:15
49,18/12/2020,20:17
50,18/12/2020,20:22
51,18/12/2020,20:23
52,18/12/2020,20:24
53,18/12/2020,20:32
54,18/12/2020,20:34
55,18/12/2020,20:38
56,18/12/2020,20:44
57,18/12/2020,20:45
58,18/12/2020,20:47
59,18/12/2020,20:47
60,18/12/2020,20:52
61,18/12/2020,20:53
62,18/12/2020,20:53
63,18/12/2020,20:58
64,18/12/2020,21:12
65,18/12/2020,21:12
66,18/12/2020,21:13
67,18/12/2020,21:13
68,18/12/2020,21:15
69,18/12/2020,21:15
70,18/12/2020,21:16
71,18/12/2020,21:17
72,18/12/2020,21:22
73,18/12/2020,21:25
74,18/12/2020,21:26
75,18/12/2020,21:27
76,18/12/2020,21:28
77,18/12/2020,21:29
78,18/12/2020,21:33
79,18/12/2020,21:36
80,18/12/2020,21:36
81,18/12/2020,21:37
82,18/12/2020,21:37
83,18/12/2020,21:39
84,18/12/2020,21:39
85,18/12/2020,21:42
86,18/12/2020,21:43
87,18/12/2020,21:44
88,18/12/2020,21:45
89,18/12/2020,21:47
90,18/12/2020,21:47
91,18/12/2020,21:49
92,18/12/2020,21:49
93,18/12/2020,21:50
94,18/12/2020,21:50
95,18/12/2020,21:51
96,18/12/2020,21:53
97,18/12/2020,21:55
98,18/12/2020,21:57
