,Date_x,Time,Date_y
0,18/12/2020,17:11,
1,18/12/2020,17:11,
2,18/12/2020,17:11,
3,18/12/2020,17:11,
4,18/12/2020,17:12,18/12/2020
5,18/12/2020,17:13,18/12/2020
6,18/12/2020,17:13,18/12/2020
7,18/12/2020,17:13,18/12/2020
8,18/12/2020,17:14,
9,18/12/2020,17:14,
10,18/12/2020,17:14,
11,18/12/2020,17:14,
12,18/12/2020,17:14,
13,18/12/2020,17:14,
14,18/12/2020,17:14,
15,18/12/2020,17:15,18/12/2020
16,18/12/2020,17:15,18/12/2020
17,18/12/2020,17:15,18/12/2020
18,18/12/2020,17:15,18/12/2020
19,18/12/2020,17:16,
20,18/12/2020,17:16,
21,18/12/2020,17:16,
22,18/12/2020,17:17,
23,18/12/2020,17:17,
24,18/12/2020,17:17,
25,18/12/2020,17:17,
26,18/12/2020,17:17,
27,18/12/2020,17:17,
28,18/12/2020,17:18,
29,18/12/2020,17:18,
30,18/12/2020,17:18,
31,18/12/2020,17:20,
32,18/12/2020,17:20,
33,18/12/2020,17:21,
34,18/12/2020,17:21,
35,18/12/2020,17:21,
36,18/12/2020,17:21,
37,18/12/2020,17:22,
38,18/12/2020,17:22,
39,18/12/2020,17:23,
40,18/12/2020,17:23,
41,18/12/2020,17:23,
42,18/12/2020,17:24,
43,18/12/2020,17:25,18/12/2020
44,18/12/2020,17:25,18/12/2020
45,18/12/2020,17:26,
46,18/12/2020,17:26,
47,18/12/2020,17:26,
48,18/12/2020,17:26,
49,18/12/2020,17:26,
50,18/12/2020,17:27,18/12/2020
51,18/12/2020,17:27,18/12/2020
52,18/12/2020,17:27,18/12/2020
53,18/12/2020,17:28,
54,18/12/2020,17:28,
55,18/12/2020,17:28,
56,18/12/2020,17:28,
57,18/12/2020,17:29,
58,18/12/2020,17:29,
59,18/12/2020,17:29,
60,18/12/2020,17:29,
61,18/12/2020,17:29,
62,18/12/2020,17:29,
63,18/12/2020,17:30,18/12/2020
64,18/12/2020,17:30,18/12/2020
