,index,gender,age,height,weight,weekly_hours,stress
198,246,0,35,170,62,60,5
199,247,0,34,175,85,40,3
200,249,1,22,165,60,12,4
201,250,0,36,177,82,45,3
202,251,0,23,179,72,40,4
203,253,0,21,158,50,20,5
204,254,0,23,174,70,40,2
205,256,0,35,168,65,40,2
206,257,0,45,173,79,55,3
207,258,0,33,156,68,40,4
208,259,1,22,168,55,0,4
209,260,0,32,173,82,40,3
210,261,1,21,170,53,35,4
211,262,0,41,175,75,50,3
212,263,0,30,167,63,40,3
213,264,1,25,160,54,10,3
214,267,1,23,167,51,40,3
215,268,0,31,168,86,50,4
216,270,0,23,172,65,0,4
217,271,1,25,167,67,8,4
218,272,1,25,163,64,37,4
219,275,0,21,174,77,0,4
220,277,0,25,180,69,0,3
221,278,0,22,174,72,35,3
222,279,0,22,200,75,40,4
223,280,0,34,173,100,45,3
224,281,1,22,173,78,40,4
225,283,1,24,164,50,48,3
226,284,0,57,187,84,35,3
227,285,0,28,180,75,40,3
228,287,0,45,170,75,40,4
229,288,0,27,189,85,50,2
230,289,1,30,167,80,32,1
231,290,0,33,180,80,40,2
232,291,1,22,171,55,45,4
233,292,1,21,160,60,35,2
234,293,0,60,175,80,50,3
235,294,0,35,170,89,6,4
236,295,0,49,192,80,40,4
237,296,0,25,196,60,40,3
238,297,0,29,188,86,65,3
239,298,1,22,170,53,32,4
240,300,0,40,180,86,50,4
241,302,1,31,164,56,39,3
242,304,0,24,170,65,40,4
243,305,0,31,173,63,50,4
244,306,0,35,175,97,50,4
245,307,0,61,152,140,37,2
246,308,1,24,165,61,45,2
247,309,0,37,176,109,40,4
248,311,1,30,167,118,43,5
249,312,0,27,168,68,0,4
250,313,0,40,180,85,30,3
251,314,0,39,177,66,60,4
252,315,0,27,182,72,40,2
253,316,0,34,170,70,40,4
254,317,0,20,166,67,56,3
255,318,1,22,170,58,35,4
256,319,0,21,189,90,30,4
257,320,0,52,171,110,40,4
258,322,1,22,170,86,0,4
259,323,0,23,176,75,40,3
260,325,0,32,174,65,42,2
261,326,0,25,166,55,40,3
262,327,1,31,170,108,35,2
263,328,1,22,155,48,40,2
264,329,1,22,175,49,0,3
265,331,0,40,183,129,80,4
266,332,0,20,178,74,0,2
267,334,1,27,163,50,40,4
268,335,0,34,180,80,40,3
269,336,1,25,175,55,45,4
270,341,1,22,156,45,40,4
271,343,0,29,175,71,38,2
272,344,1,40,166,64,10,2
273,346,0,30,171,65,50,4
274,347,1,21,155,55,0,5
275,348,0,33,191,114,55,4
276,349,0,25,179,91,0,4
277,351,0,53,170,95,37,3
278,352,1,22,156,42,40,5
279,353,0,28,175,95,52,4
280,354,1,26,158,50,46,2
281,356,0,25,170,62,40,4
282,357,0,67,180,81,42,4
283,358,0,49,176,73,35,4
284,359,0,29,183,90,37,3
285,361,1,23,157,49,44,4
286,362,0,31,171,73,0,3
287,363,1,28,160,70,40,2
288,364,0,22,188,82,40,2
289,365,0,24,172,65,40,3
290,366,1,30,170,77,60,4
291,367,0,20,174,72,40,4
292,368,0,25,165,70,40,4
293,369,0,24,182,80,30,2
294,370,0,40,160,68,38,4
295,371,0,22,184,70,0,5
296,372,0,26,178,85,48,4
297,373,1,21,151,65,0,4
298,374,0,32,175,71,40,4
299,375,1,23,164,53,50,3
300,376,0,39,182,81,36,2
301,377,0,27,165,59,40,4
302,378,1,24,157,50,60,3
303,380,0,34,180,90,40,4
304,381,1,20,156,71,28,3
305,382,0,24,168,75,40,2
306,383,1,26,172,54,25,4
307,384,1,37,173,90,35,4
308,385,0,22,173,75,0,4
309,386,1,21,152,42,0,4
310,387,0,32,170,57,40,2
311,388,0,67,182,80,40,2
312,389,0,43,211,80,45,2
313,390,0,43,169,63,60,4
314,391,1,21,170,62,0,4
315,392,0,25,182,75,38,2
316,394,0,31,176,66,40,2
317,396,0,27,171,73,40,3
318,397,1,44,172,62,45,4
