,gender,age,height,weight,weekly_hours,stress
132,f,30.0,180.0,87.0,50.0,4.0
133,m,29.0,168.0,52.0,35.0,4.0
134,m,21.0,170.0,59.0,1.0,3.0
135,m,54.0,182.0,79.0,60.0,4.0
136,m,63.0,168.0,86.0,50.0,4.0
137,f,19.0,171.0,75.0,0.0,2.0
138,m,155.0,58.0,70.0,40.0,3.0
139,m,21.0,150.0,56.0,16.0,4.0
140,m,24.0,162.0,58.0,40.0,4.0
141,m,27.0,160.0,58.0,45.0,3.0
142,f,127.0,172.0,68.0,37.0,4.0
143,f,22.0,173.0,52.0,50.0,4.0
144,f,26.0,183.0,86.0,40.0,4.0
145,f,25.0,175.0,72.0,40.0,4.0
146,m,33.0,173.0,62.0,4.0,3.0
147,f,25.0,194.0,90.0,25.0,2.0
148,m,24.0,176.0,80.0,40.0,5.0
149,f,36.0,169.0,70.0,45.0,2.0
150,f,20.0,190.0,90.0,70.0,3.0
151,m,30.0,165.0,72.0,40.0,3.0
152,f,30.0,167.0,60.0,40.0,3.0
153,m,42.0,163.0,61.0,40.0,4.0
154,f,26.0,180.0,75.0,40.0,2.0
155,f,35.0,170.0,75.0,36.0,3.0
156,m,24.0,168.0,70.0,40.0,2.0
157,f,33.0,178.0,85.0,10.0,2.0
158,f,29.0,162.0,52.0,3.0,4.0
159,f,24.0,167.0,57.0,51.0,2.0
160,m,24.0,173.0,58.0,40.0,3.0
161,f,22.0,190.0,85.0,50.0,5.0
162,m,29.0,174.0,58.0,60.0,4.0
163,m,36.0,157.0,80.0,40.0,4.0
164,m,25.0,175.0,65.0,36.0,4.0
165,m,21.0,172.0,57.0,36.0,3.0
166,f,45.0,176.0,90.0,48.0,3.0
167,f,21.0,180.0,72.0,0.0,2.0
168,m,32.0,162.0,75.0,45.0,4.0
169,m,38.0,165.0,56.0,40.0,5.0
170,m,28.0,158.0,62.0,30.0,2.0
171,m,63.0,163.0,57.0,25.0,3.0
172,f,48.0,175.0,63.0,40.0,4.0
173,f,35.0,168.0,72.0,36.0,3.0
174,m,31.0,167.0,67.0,40.0,4.0
175,f,30.0,173.0,70.0,60.0,2.0
176,m,34.0,157.0,76.0,30.0,2.0
177,m,22.0,165.0,54.0,42.0,3.0
178,f,28.0,174.0,70.0,40.0,2.0
179,f,25.0,181.0,77.0,36.0,5.0
180,m,22.0,167.0,55.0,40.0,4.0
181,f,34.0,178.0,73.0,56.0,1.0
182,f,27.0,176.0,89.0,40.0,4.0
183,m,52.0,152.0,58.0,0.0,4.0
184,m,26.0,163.0,52.0,40.0,3.0
185,m,42.0,168.0,72.0,84.0,4.0
186,f,27.0,182.0,85.0,40.0,4.0
187,f,28.0,170.0,75.0,35.0,3.0
188,f,28.0,187.0,70.0,36.0,4.0
189,f,28.0,183.0,80.0,40.0,4.0
190,m,42.0,165.0,70.0,40.0,3.0
191,m,26.0,224.0,70.0,50.0,3.0
192,f,35.0,181.0,75.0,45.0,3.0
193,f,42.0,160.0,92.0,36.0,5.0
194,m,24.0,157.0,48.0,50.0,4.0
195,f,29.0,175.0,77.0,40.0,1.0
196,m,30.0,224.0,73.0,37.0,4.0
197,m,29.0,169.0,60.0,42.0,3.0
198,m,23.0,158.0,65.0,40.0,1.0
199,f,28.0,224.0,70.0,40.0,4.0
200,m,28.0,157.0,58.0,35.0,3.0
201,f,23.0,224.0,100.0,45.0,3.0
202,f,23.0,175.0,100.0,40.0,4.0
203,m,28.0,164.0,63.0,48.0,4.0
204,m,24.0,155.0,54.0,30.0,4.0
205,m,28.0,157.0,48.0,35.0,4.0
206,f,24.0,188.0,70.0,10.0,3.0
207,m,25.0,63.0,50.0,36.0,3.0
208,f,23.0,166.0,67.0,42.0,3.0
209,m,21.0,161.0,56.0,0.0,5.0
210,f,48.0,169.0,75.0,15.0,4.0
211,f,24.0,160.0,65.0,0.0,4.0
212,m,25.0,154.0,45.0,0.0,3.0
213,f,17.0,178.0,66.0,0.0,3.0
214,f,32.0,183.0,79.0,45.0,3.0
215,f,36.0,179.0,87.0,50.0,3.0
216,f,24.0,170.0,65.0,0.0,4.0
217,0,31.0,224.0,70.0,36.0,3.0
218,f,20.0,184.0,96.0,20.0,4.0
219,f,40.0,168.0,60.0,55.0,4.0
220,m,45.0,173.0,52.0,50.0,3.0
221,f,26.0,172.0,80.0,40.0,4.0
222,m,24.0,152.0,57.0,40.0,3.0
223,m,28.0,162.0,63.0,48.0,3.0
224,f,39.0,168.0,60.0,45.0,2.0
225,f,23.0,176.0,65.0,40.0,3.0
226,f,36.0,168.0,72.0,40.0,4.0
227,f,24.0,176.0,75.0,40.0,1.0
228,f,48.0,165.0,60.0,45.0,3.0
229,m,27.0,160.0,50.0,40.0,5.0
230,m,21.0,157.0,50.0,36.0,4.0
231,f,21.0,224.0,74.0,0.0,2.0
232,f,20.0,180.0,72.0,0.0,2.0
233,f,51.0,186.0,92.0,30.0,2.0
234,f,24.0,170.0,70.0,45.0,2.0
235,f,19.0,184.0,76.0,36.0,3.0
236,m,31.0,150.0,45.0,40.0,4.0
237,f,48.0,170.0,112.0,40.0,3.0
238,f,35.0,179.0,100.0,40.0,3.0
239,0,31.0,224.0,70.0,36.0,3.0
240,f,20.0,172.0,111.0,25.0,4.0
241,f,19.0,166.0,50.0,36.0,3.0
242,f,22.0,224.0,68.0,40.0,3.0
243,m,46.0,168.0,65.0,35.0,5.0
244,f,25.0,168.0,60.0,40.0,4.0
245,m,23.0,160.0,53.0,40.0,4.0
246,f,35.0,170.0,62.0,60.0,5.0
247,f,34.0,175.0,85.0,40.0,3.0
248,f,20.0,165.0,80.0,36.0,3.0
249,m,22.0,165.0,60.0,-12.0,4.0
250,f,36.0,177.0,82.0,45.0,3.0
251,f,23.0,179.0,72.0,40.0,4.0
252,0,22.0,156.0,92.0,40.0,2.0
253,f,21.0,158.0,50.0,20.0,5.0
254,f,23.0,174.0,70.0,40.0,2.0
255,m,27.0,167.0,70.0,32.0,3.0
256,f,35.0,168.0,65.0,40.0,2.0
257,f,45.0,173.0,79.0,55.0,3.0
258,f,33.0,156.0,68.0,40.0,4.0
259,m,22.0,168.0,55.0,0.0,4.0
260,f,32.0,173.0,82.0,40.0,3.0
261,m,21.0,170.0,53.0,35.0,4.0
262,f,41.0,175.0,75.0,50.0,3.0
263,f,30.0,167.0,63.0,40.0,3.0
264,m,25.0,160.0,54.0,10.0,3.0
265,m,25.0,165.0,70.0,0.0,4.0
266,0,24.0,181.0,75.0,32.0,5.0
267,m,23.0,167.0,51.0,40.0,3.0
268,f,31.0,168.0,86.0,50.0,4.0
269,m,31.0,224.0,70.0,36.0,3.0
270,f,23.0,172.0,65.0,0.0,4.0
271,m,25.0,167.0,67.0,8.0,4.0
272,m,25.0,163.0,64.0,37.0,4.0
273,f,34.0,170.0,63.0,36.0,2.0
274,m,52.0,224.0,70.0,40.0,4.0
275,f,21.0,174.0,77.0,0.0,4.0
276,m,47.0,224.0,70.0,36.0,3.0
277,f,25.0,180.0,69.0,0.0,3.0
278,f,22.0,174.0,72.0,35.0,3.0
279,f,22.0,200.0,75.0,40.0,4.0
280,f,34.0,173.0,100.0,45.0,3.0
281,m,22.0,173.0,78.0,40.0,4.0
282,m,24.0,154.0,52.0,36.0,4.0
283,m,24.0,164.0,50.0,48.0,3.0
284,f,57.0,187.0,84.0,35.0,3.0
285,f,28.0,180.0,75.0,40.0,3.0
286,m,39.0,162.0,54.0,36.0,4.0
287,f,45.0,170.0,75.0,40.0,4.0
288,f,27.0,189.0,85.0,50.0,2.0
289,m,30.0,167.0,80.0,32.0,1.0
290,f,33.0,180.0,80.0,40.0,2.0
291,m,22.0,171.0,55.0,45.0,4.0
292,m,21.0,160.0,60.0,35.0,2.0
293,f,60.0,175.0,80.0,50.0,3.0
294,f,35.0,17.0,89.0,6.0,4.0
295,f,49.0,192.0,80.0,40.0,4.0
296,f,25.0,66.0,60.0,40.0,3.0
297,f,29.0,188.0,86.0,65.0,3.0
298,m,22.0,170.0,53.0,32.0,4.0
299,f,40.0,165.0,65.0,36.0,2.0
300,f,40.0,180.0,86.0,50.0,4.0
301,m,24.0,158.0,49.0,36.0,3.0
302,m,31.0,164.0,56.0,39.0,3.0
303,m,38.0,224.0,70.0,33.0,3.0
304,f,24.0,170.0,65.0,40.0,4.0
305,f,31.0,173.0,63.0,50.0,4.0
306,f,35.0,175.0,97.0,50.0,4.0
307,f,61.0,5.0,140.0,37.0,2.0
308,m,24.0,165.0,61.0,45.0,2.0
309,f,37.0,176.0,109.0,40.0,4.0
310,m,31.0,224.0,70.0,36.0,3.0
311,m,30.0,167.0,118.0,43.0,5.0
312,f,27.0,168.0,68.0,0.0,4.0
313,f,40.0,180.0,85.0,30.0,3.0
314,f,39.0,177.0,66.0,60.0,4.0
315,f,27.0,182.0,72.0,40.0,2.0
316,f,34.0,170.0,70.0,40.0,4.0
317,f,20.0,166.0,67.0,56.0,3.0
318,m,22.0,170.0,58.0,35.0,4.0
319,f,21.0,189.0,90.0,30.0,4.0
320,f,52.0,171.0,110.0,40.0,4.0
321,f,21.0,174.0,55.0,36.0,2.0
322,m,22.0,170.0,86.0,0.0,4.0
323,f,23.0,176.0,75.0,40.0,3.0
324,m,26.0,163.0,80.0,36.0,4.0
325,f,32.0,174.0,65.0,42.0,2.0
326,f,25.0,166.0,55.0,40.0,3.0
327,m,31.0,170.0,108.0,35.0,2.0
328,m,22.0,155.0,48.0,40.0,2.0
329,m,22.0,175.0,49.0,0.0,3.0
330,f,28.0,224.0,70.0,45.0,4.0
