,gender,age,height,weight,weekly_hours,stress
139,1,21.0,150.0,56.0,16.0,4.0
140,1,24.0,162.0,58.0,40.0,4.0
141,1,27.0,160.0,58.0,45.0,3.0
142,0,27.0,172.0,68.0,37.0,4.0
143,0,22.0,173.0,52.0,50.0,4.0
144,0,26.0,183.0,86.0,40.0,4.0
145,0,25.0,175.0,72.0,40.0,4.0
146,1,33.0,173.0,62.0,4.0,3.0
147,0,25.0,194.0,90.0,25.0,2.0
148,1,24.0,176.0,80.0,40.0,5.0
149,0,36.0,169.0,70.0,45.0,2.0
150,0,20.0,190.0,90.0,70.0,
151,1,30.0,165.0,72.0,40.0,3.0
152,0,30.0,167.0,60.0,40.0,3.0
153,1,42.0,163.0,61.0,40.0,4.0
154,0,26.0,180.0,75.0,40.0,2.0
155,0,35.0,170.0,75.0,,3.0
156,1,24.0,168.0,70.0,40.0,2.0
157,0,33.0,178.0,85.0,10.0,2.0
158,0,29.0,162.0,52.0,3.0,4.0
159,0,24.0,167.0,57.0,51.0,2.0
160,1,24.0,173.0,58.0,40.0,3.0
161,0,22.0,190.0,85.0,50.0,5.0
162,1,29.0,174.0,58.0,60.0,4.0
163,1,36.0,157.0,80.0,40.0,4.0
164,1,25.0,175.0,65.0,,4.0
165,1,21.0,172.0,57.0,,
166,0,45.0,176.0,90.0,48.0,3.0
167,0,21.0,180.0,72.0,0.0,2.0
168,1,32.0,162.0,75.0,45.0,4.0
169,1,38.0,165.0,56.0,40.0,5.0
170,1,28.0,158.0,62.0,30.0,2.0
171,1,63.0,163.0,57.0,25.0,3.0
172,0,48.0,175.0,63.0,40.0,4.0
173,0,35.0,168.0,72.0,,
174,1,31.0,167.0,67.0,40.0,4.0
175,0,30.0,173.0,70.0,60.0,2.0
176,1,34.0,157.0,76.0,30.0,2.0
177,1,22.0,165.0,54.0,42.0,3.0
178,0,28.0,174.0,70.0,40.0,2.0
179,0,25.0,181.0,77.0,,5.0
180,1,22.0,167.0,55.0,40.0,4.0
181,0,34.0,178.0,73.0,56.0,1.0
182,0,27.0,176.0,89.0,40.0,4.0
183,1,52.0,152.0,58.0,0.0,4.0
184,1,26.0,163.0,52.0,40.0,3.0
185,1,42.0,168.0,72.0,84.0,4.0
186,0,27.0,182.0,85.0,40.0,4.0
187,0,28.0,170.0,75.0,35.0,3.0
188,0,28.0,187.0,,,4.0
189,0,28.0,183.0,80.0,40.0,4.0
190,1,42.0,165.0,70.0,40.0,3.0
191,1,26.0,,,50.0,3.0
192,0,35.0,181.0,75.0,45.0,3.0
193,0,42.0,160.0,92.0,36.0,5.0
194,1,24.0,157.0,48.0,50.0,4.0
195,0,29.0,175.0,77.0,40.0,1.0
196,1,30.0,,73.0,37.0,4.0
197,1,29.0,169.0,60.0,42.0,3.0
198,1,23.0,158.0,65.0,40.0,1.0
199,0,28.0,,,40.0,4.0
200,1,28.0,157.0,58.0,35.0,3.0
201,0,23.0,,100.0,45.0,3.0
202,0,23.0,175.0,100.0,40.0,4.0
203,1,28.0,164.0,63.0,48.0,4.0
204,1,24.0,155.0,54.0,30.0,4.0
205,1,28.0,157.0,48.0,35.0,4.0
206,0,24.0,188.0,,10.0,3.0
207,1,25.0,192.0,50.0,,
208,0,23.0,166.0,67.0,42.0,3.0
209,1,21.0,161.0,56.0,0.0,5.0
210,0,48.0,169.0,75.0,15.0,4.0
211,0,24.0,160.0,65.0,0.0,4.0
212,1,25.0,154.0,45.0,0.0,3.0
213,0,17.0,178.0,66.0,0.0,3.0
214,0,32.0,183.0,79.0,45.0,3.0
215,0,36.0,179.0,87.0,50.0,3.0
216,0,24.0,170.0,65.0,0.0,4.0
217,,,,,,
218,0,20.0,184.0,96.0,20.0,4.0
219,0,40.0,168.0,60.0,55.0,4.0
220,1,45.0,173.0,52.0,50.0,3.0
221,0,26.0,172.0,80.0,40.0,4.0
222,1,24.0,152.0,57.0,40.0,3.0
223,1,28.0,162.0,63.0,48.0,3.0
224,0,39.0,168.0,60.0,45.0,2.0
225,0,23.0,176.0,65.0,40.0,3.0
226,0,36.0,168.0,72.0,40.0,4.0
227,0,24.0,176.0,75.0,40.0,1.0
228,0,48.0,165.0,60.0,45.0,3.0
229,1,27.0,160.0,50.0,40.0,5.0
230,1,21.0,157.0,50.0,,4.0
231,0,21.0,,74.0,0.0,2.0
232,0,20.0,180.0,72.0,0.0,2.0
233,0,51.0,186.0,92.0,30.0,2.0
234,0,24.0,170.0,70.0,45.0,2.0
235,0,19.0,184.0,76.0,,3.0
236,1,31.0,150.0,45.0,40.0,4.0
237,0,48.0,170.0,112.0,40.0,3.0
238,0,35.0,179.0,100.0,40.0,3.0
239,,,,,,
240,0,20.0,172.0,111.0,25.0,4.0
241,0,19.0,166.0,50.0,,3.0
242,0,22.0,,68.0,40.0,3.0
243,1,46.0,168.0,65.0,35.0,5.0
244,0,25.0,168.0,60.0,40.0,4.0
245,1,23.0,160.0,53.0,40.0,4.0
246,0,35.0,170.0,62.0,60.0,5.0
247,0,34.0,175.0,85.0,40.0,3.0
248,0,20.0,165.0,80.0,,3.0
249,1,22.0,165.0,60.0,12.0,4.0
250,0,36.0,177.0,82.0,45.0,3.0
251,0,23.0,179.0,72.0,40.0,4.0
252,,22.0,156.0,92.0,40.0,2.0
253,0,21.0,158.0,50.0,20.0,5.0
254,0,23.0,174.0,70.0,40.0,2.0
255,1,27.0,167.0,,32.0,3.0
256,0,35.0,168.0,65.0,40.0,2.0
257,0,45.0,173.0,79.0,55.0,3.0
258,0,33.0,156.0,68.0,40.0,4.0
259,1,22.0,168.0,55.0,0.0,4.0
260,0,32.0,173.0,82.0,40.0,3.0
261,1,21.0,170.0,53.0,35.0,4.0
262,0,41.0,175.0,75.0,50.0,3.0
263,0,30.0,167.0,63.0,40.0,3.0
264,1,25.0,160.0,54.0,10.0,3.0
265,1,25.0,165.0,,0.0,4.0
266,,24.0,181.0,75.0,32.0,5.0
267,1,23.0,167.0,51.0,40.0,3.0
268,0,31.0,168.0,86.0,50.0,4.0
269,1,,,,,
270,0,23.0,172.0,65.0,0.0,4.0
271,1,25.0,167.0,67.0,8.0,4.0
272,1,25.0,163.0,64.0,37.0,4.0
273,0,34.0,170.0,63.0,,2.0
274,1,52.0,,,40.0,4.0
275,0,21.0,174.0,77.0,0.0,4.0
276,1,47.0,,,,
277,0,25.0,180.0,69.0,0.0,3.0
278,0,22.0,174.0,72.0,35.0,3.0
279,0,22.0,200.0,75.0,40.0,4.0
280,0,34.0,173.0,100.0,45.0,3.0
281,1,22.0,173.0,78.0,40.0,4.0
282,1,24.0,154.0,52.0,,4.0
283,1,24.0,164.0,50.0,48.0,3.0
284,0,57.0,187.0,84.0,35.0,3.0
285,0,28.0,180.0,75.0,40.0,3.0
286,1,39.0,162.0,54.0,,4.0
287,0,45.0,170.0,75.0,40.0,4.0
288,0,27.0,189.0,85.0,50.0,2.0
289,1,30.0,167.0,80.0,32.0,1.0
290,0,33.0,180.0,80.0,40.0,2.0
291,1,22.0,171.0,55.0,45.0,4.0
292,1,21.0,160.0,60.0,35.0,2.0
293,0,60.0,175.0,80.0,50.0,3.0
294,0,35.0,170.0,89.0,6.0,4.0
295,0,49.0,192.0,80.0,40.0,4.0
296,0,25.0,196.0,60.0,40.0,3.0
297,0,29.0,188.0,86.0,65.0,3.0
298,1,22.0,170.0,53.0,32.0,4.0
299,0,40.0,165.0,65.0,,2.0
300,0,40.0,180.0,86.0,50.0,4.0
301,1,24.0,158.0,49.0,,3.0
302,1,31.0,164.0,56.0,39.0,3.0
303,1,38.0,,,33.0,3.0
304,0,24.0,170.0,65.0,40.0,4.0
