Date,adjclose_x,adjclose_y
2020-03-17,541.6782836914062,8967.0498046875
2020-03-18,521.5221557617188,8468.7998046875
2020-03-19,532.5031127929688,8263.4501953125
2020-03-20,571.204833984375,8745.4501953125
2020-03-23,513.85986328125,7610.25
2020-03-24,575.69482421875,7801.0498046875
2020-03-25,591.7026977539062,8317.849609375
2020-03-26,627.62255859375,8641.4501953125
2020-03-27,637.0906372070312,8660.25
2020-03-30,611.71240234375,8281.099609375
2020-03-31,626.158447265625,8597.75
2020-04-01,588.3839721679688,8253.7998046875
2020-04-03,571.69287109375,8083.7998046875
2020-04-07,623.71826171875,8792.2001953125
2020-04-08,616.4951782226562,8748.75
2020-04-09,621.0339965820312,9111.900390625
2020-04-13,622.156494140625,8993.849609375
2020-04-15,623.7670288085938,8925.2998046875
2020-04-16,608.9304809570312,8992.7998046875
2020-04-17,613.71337890625,9266.75
2020-04-20,637.67626953125,9261.849609375
2020-04-21,618.0569458007812,8981.4501953125
2020-04-22,626.5000610351562,9187.2998046875
2020-04-23,663.054443359375,9313.900390625
2020-04-24,642.2637939453125,9154.400390625
2020-04-27,648.7059936523438,9282.2998046875
2020-04-28,644.8992919921875,9380.900390625
2020-04-29,660.3702392578125,9553.349609375
2020-04-30,698.3887329101562,9859.900390625
2020-05-04,657.58837890625,9293.5
2020-05-05,657.58837890625,9205.599609375
2020-05-06,649.9749145507812,9270.900390625
2020-05-07,649.047607421875,9199.0498046875
2020-05-08,658.076416015625,9251.5
2020-05-11,666.5684204101562,9239.2001953125
2020-05-12,671.204833984375,9196.5498046875
2020-05-13,677.54931640625,9383.5498046875
2020-05-14,642.4102783203125,9142.75
2020-05-15,636.7001953125,9136.849609375
2020-05-18,648.0227661132812,8823.25
2020-05-19,652.6102905273438,8879.099609375
2020-05-20,653.53759765625,9066.5498046875
2020-05-21,656.124267578125,9106.25
2020-05-22,675.7922973632812,9039.25
2020-05-26,664.2745361328125,9029.0498046875
2020-05-27,688.5791015625,9314.9501953125
2020-05-28,690.4824829101562,9490.099609375
2020-05-29,683.65576171875,9580.2998046875
2020-06-01,692.1148681640625,9826.150390625
2020-06-02,700.573974609375,9979.099609375
2020-06-03,694.0936279296875,10061.5498046875
2020-06-04,700.2277221679688,10029.099609375
2020-06-05,696.0723876953125,10142.150390625
2020-06-08,713.1884765625,10167.4501953125
2020-06-09,709.9730224609375,10046.650390625
2020-06-10,708.2416381835938,10116.150390625
2020-06-11,696.4681396484375,9902.0
2020-06-12,684.694580078125,9972.900390625
2020-06-15,680.242431640625,9813.7001953125
2020-06-16,693.7473754882812,9914.0
2020-06-17,696.1713256835938,9881.150390625
2020-06-18,706.3123779296875,10091.650390625
2020-06-19,698.0511474609375,10244.400390625
2020-06-22,696.2208251953125,10311.2001953125
2020-06-23,712.9906616210938,10471.0
2020-06-24,706.5597534179688,10305.2998046875
2020-06-25,693.0548095703125,10288.900390625
2020-06-26,740.2478637695312,10383.0
2020-06-29,723.97265625,10312.400390625
2020-06-30,728.1280517578125,10302.099609375
2020-07-01,724.12109375,10430.0498046875
2020-07-02,748.5585327148438,10551.7001953125
2020-07-03,754.59375,10607.349609375
2020-07-06,755.8798828125,10763.650390625
2020-07-07,785.70947265625,10799.650390625
2020-07-08,766.4661865234375,10705.75
2020-07-09,773.3917846679688,10813.4501953125
2020-07-10,773.5401611328125,10768.0498046875
2020-07-13,788.57861328125,10802.7001953125
2020-07-14,774.92529296875,10607.349609375
2020-07-15,822.1183471679688,10618.2001953125
2020-07-16,901.3175048828125,10739.9501953125
2020-07-17,893.5509643554688,10901.7001953125
2020-07-20,924.369873046875,11022.2001953125
2020-07-21,926.7938232421875,11162.25
2020-07-22,908.1442260742188,11132.599609375
2020-07-23,898.2999267578125,11215.4501953125
2020-07-24,913.0415649414062,11194.150390625
2020-07-27,938.3695068359375,11131.7998046875
2020-07-28,952.6163940429688,11300.5498046875
2020-07-29,944.0089111328125,11202.849609375
2020-07-30,951.2313232421875,11102.150390625
2020-07-31,955.7329711914062,11073.4501953125
2020-08-03,946.729736328125,10891.599609375
2020-08-04,939.7545776367188,11095.25
2020-08-05,934.6593627929688,11101.650390625
2020-08-06,960.5313720703125,11200.150390625
2020-08-07,940.79345703125,11214.0498046875
2020-08-10,941.2386474609375,11270.150390625
2020-08-11,938.3695068359375,11322.5
2020-08-12,944.8004150390625,11308.400390625
2020-08-13,941.0902709960938,11300.4501953125
2020-08-14,943.4647216796875,11178.400390625
2020-08-17,947.3233032226562,11247.099609375
2020-08-18,957.2664794921875,11385.349609375
2020-08-19,949.1041870117188,11408.400390625
2020-08-20,944.998291015625,11312.2001953125
2020-08-21,938.7157592773438,11371.599609375
2020-08-24,937.3306884765625,11466.4501953125
2020-08-25,928.1294555664062,11472.25
2020-08-26,940.6945190429688,11549.599609375
2020-08-27,936.984375,11559.25
2020-08-28,925.309814453125,11647.599609375
2020-08-31,918.73046875,11387.5
2020-09-01,904.43408203125,11470.25
2020-09-02,914.1793823242188,11535.0
2020-09-03,925.6065673828125,11527.4501953125
2020-09-04,909.3809204101562,11333.849609375
2020-09-07,915.2182006835938,11355.0498046875
2020-09-08,929.3167114257812,11317.349609375
2020-09-09,917.8895263671875,11278.0
2020-09-10,930.0587768554688,11449.25
2020-09-11,935.6487426757812,11464.4501953125
2020-09-14,968.001220703125,11440.0498046875
2020-09-15,972.0081176757812,11521.7998046875
2020-09-16,991.10302734375,11604.5498046875
2020-09-17,1000.2546997070312,11516.099609375
2020-09-18,991.498779296875,11504.9501953125
